буква       raw    |   enc
  а:       0.0482  |  0.0080
  б:       0.0080  |  0.0040
  в:       0.0201  |  0.0201
  г:       0.0120  |  0.0161
  д:       0.0442  |  0.0201
  е:       0.0562  |  0.0201
  ж:       0.0161  |  0.0201
  з:       0.0080  |  0.0040
  и:       0.0522  |  0.0201
  й:       0.0040  |  0.0161
  к:       0.0161  |  0.0321
  л:       0.0402  |  0.0321
  м:       0.0361  |  0.0161
  н:       0.0562  |  0.0281
  о:       0.0964  |  0.0120
  п:       0.0241  |  0.0442
  р:       0.0361  |  0.0201
  с:       0.0442  |  0.0361
  т:       0.0562  |  0.0402
  у:       0.0201  |  0.0201
  ф:       0.0000  |  0.0201
  х:       0.0000  |  0.0321
  ц:       0.0040  |  0.0201
  ч:       0.0161  |  0.0281
  ш:       0.0080  |  0.0442
  щ:       0.0000  |  0.0562
  ъ:       0.0000  |  0.0241
  ы:       0.0241  |  0.0442
  ь:       0.0161  |  0.0201
  э:       0.0000  |  0.0201
  ю:       0.0000  |  0.0040
  я:       0.0040  |  0.0241
  ё:       0.0000  |  0.0000
