буква       raw    |   enc
  а:       0.0637  |  0.0120
  б:       0.0159  |  0.0239
  в:       0.0319  |  0.0000
  г:       0.0199  |  0.0000
  д:       0.0199  |  0.0080
  е:       0.0478  |  0.0159
  ж:       0.0120  |  0.0239
  з:       0.0159  |  0.0120
  и:       0.0797  |  0.0120
  й:       0.0000  |  0.0478
  к:       0.0279  |  0.0359
  л:       0.0637  |  0.0159
  м:       0.0040  |  0.0359
  н:       0.0478  |  0.0279
  о:       0.1155  |  0.0120
  п:       0.0279  |  0.0319
  р:       0.0359  |  0.0279
  с:       0.0438  |  0.0279
  т:       0.0478  |  0.0239
  у:       0.0199  |  0.0398
  ф:       0.0000  |  0.0080
  х:       0.0000  |  0.0558
  ц:       0.0040  |  0.0159
  ч:       0.0120  |  0.0438
  ш:       0.0040  |  0.0637
  щ:       0.0040  |  0.0279
  ъ:       0.0000  |  0.0159
  ы:       0.0080  |  0.0598
  ь:       0.0159  |  0.0398
  э:       0.0000  |  0.0080
  ю:       0.0120  |  0.0239
  я:       0.0080  |  0.0120
  ё:       0.0000  |  0.0000
