буква       raw    |   enc
  а:       0.0449  |  0.0245
  б:       0.0245  |  0.0041
  в:       0.0245  |  0.0286
  г:       0.0163  |  0.0286
  д:       0.0367  |  0.0163
  е:       0.0898  |  0.0408
  ж:       0.0122  |  0.0327
  з:       0.0245  |  0.0204
  и:       0.0490  |  0.0571
  й:       0.0041  |  0.0204
  к:       0.0245  |  0.0327
  л:       0.0490  |  0.0327
  м:       0.0327  |  0.0163
  н:       0.0612  |  0.0286
  о:       0.1061  |  0.0204
  п:       0.0163  |  0.0163
  р:       0.0286  |  0.0286
  с:       0.0571  |  0.0122
  т:       0.0163  |  0.0163
  у:       0.0163  |  0.0327
  ф:       0.0000  |  0.0204
  х:       0.0082  |  0.0163
  ц:       0.0000  |  0.0367
  ч:       0.0122  |  0.0327
  ш:       0.0041  |  0.0245
  щ:       0.0000  |  0.0408
  ъ:       0.0000  |  0.0327
  ы:       0.0245  |  0.0204
  ь:       0.0204  |  0.0449
  э:       0.0000  |  0.0163
  ю:       0.0082  |  0.0163
  я:       0.0204  |  0.0204
  ё:       0.0000  |  0.0000
