буква       raw    |   enc
  а:       0.0714  |  0.0040
  б:       0.0079  |  0.0159
  в:       0.0278  |  0.0198
  г:       0.0159  |  0.0119
  д:       0.0278  |  0.0159
  е:       0.0476  |  0.0437
  ж:       0.0040  |  0.0119
  з:       0.0079  |  0.0119
  и:       0.0833  |  0.0119
  й:       0.0238  |  0.0238
  к:       0.0635  |  0.0198
  л:       0.0357  |  0.0317
  м:       0.0119  |  0.0278
  н:       0.0317  |  0.0317
  о:       0.0714  |  0.0119
  п:       0.0159  |  0.0198
  р:       0.0516  |  0.0198
  с:       0.0397  |  0.0278
  т:       0.0516  |  0.0437
  у:       0.0278  |  0.0476
  ф:       0.0079  |  0.0198
  х:       0.0159  |  0.0278
  ц:       0.0040  |  0.0317
  ч:       0.0198  |  0.0437
  ш:       0.0079  |  0.0079
  щ:       0.0000  |  0.0317
  ъ:       0.0000  |  0.0198
  ы:       0.0040  |  0.0317
  ь:       0.0119  |  0.0317
  э:       0.0000  |  0.0397
  ю:       0.0040  |  0.0198
  я:       0.0000  |  0.0357
  ё:       0.0000  |  0.0000
