буква       raw    |   enc
  а:       0.0314  |  0.0314
  б:       0.0471  |  0.0235
  в:       0.0235  |  0.0235
  г:       0.0471  |  0.0196
  д:       0.0157  |  0.0392
  е:       0.0431  |  0.0275
  ж:       0.0314  |  0.0235
  з:       0.0431  |  0.0314
  и:       0.0353  |  0.0392
  й:       0.0392  |  0.0275
  к:       0.0549  |  0.0118
  л:       0.0431  |  0.0431
  м:       0.0431  |  0.0275
  н:       0.0392  |  0.0392
  о:       0.0353  |  0.0275
  п:       0.0353  |  0.0353
  р:       0.0275  |  0.0275
  с:       0.0353  |  0.0431
  т:       0.0235  |  0.0431
  у:       0.0353  |  0.0510
  ф:       0.0235  |  0.0392
  х:       0.0275  |  0.0118
  ц:       0.0196  |  0.0275
  ч:       0.0157  |  0.0353
  ш:       0.0118  |  0.0118
  щ:       0.0118  |  0.0549
  ъ:       0.0314  |  0.0314
  ы:       0.0275  |  0.0196
  ь:       0.0157  |  0.0353
  э:       0.0235  |  0.0235
  ю:       0.0235  |  0.0314
  я:       0.0235  |  0.0275
  ё:       0.0157  |  0.0157
