буква       raw    |   enc
  а:       0.0118  |  0.0157
  б:       0.0353  |  0.0118
  в:       0.0588  |  0.0392
  г:       0.0314  |  0.0392
  д:       0.0235  |  0.0235
  е:       0.0353  |  0.0275
  ж:       0.0353  |  0.0392
  з:       0.0353  |  0.0392
  и:       0.0314  |  0.0275
  й:       0.0431  |  0.0235
  к:       0.0314  |  0.0157
  л:       0.0314  |  0.0353
  м:       0.0392  |  0.0471
  н:       0.0196  |  0.0275
  о:       0.0196  |  0.0157
  п:       0.0392  |  0.0431
  р:       0.0471  |  0.0353
  с:       0.0275  |  0.0235
  т:       0.0118  |  0.0510
  у:       0.0235  |  0.0431
  ф:       0.0314  |  0.0392
  х:       0.0196  |  0.0431
  ц:       0.0314  |  0.0235
  ч:       0.0353  |  0.0314
  ш:       0.0275  |  0.0235
  щ:       0.0275  |  0.0275
  ъ:       0.0275  |  0.0235
  ы:       0.0275  |  0.0353
  ь:       0.0157  |  0.0275
  э:       0.0471  |  0.0275
  ю:       0.0314  |  0.0353
  я:       0.0235  |  0.0157
  ё:       0.0235  |  0.0235
