буква       raw    |   enc
  а:       0.0518  |  0.0319
  б:       0.0279  |  0.0199
  в:       0.0359  |  0.0239
  г:       0.0040  |  0.0159
  д:       0.0359  |  0.0159
  е:       0.0677  |  0.0159
  ж:       0.0120  |  0.0199
  з:       0.0159  |  0.0120
  и:       0.0319  |  0.0438
  й:       0.0120  |  0.0438
  к:       0.0199  |  0.0239
  л:       0.0279  |  0.0239
  м:       0.0199  |  0.0359
  н:       0.0558  |  0.0159
  о:       0.0837  |  0.0159
  п:       0.0199  |  0.0199
  р:       0.0438  |  0.0199
  с:       0.0199  |  0.0319
  т:       0.0598  |  0.0199
  у:       0.0319  |  0.0120
  ф:       0.0000  |  0.0398
  х:       0.0040  |  0.0359
  ц:       0.0000  |  0.0239
  ч:       0.0159  |  0.0199
  ш:       0.0040  |  0.0199
  щ:       0.0040  |  0.0239
  ъ:       0.0000  |  0.0239
  ы:       0.0199  |  0.0120
  ь:       0.0239  |  0.0398
  э:       0.0000  |  0.0239
  ю:       0.0040  |  0.0359
  я:       0.0239  |  0.0159
  ё:       0.0000  |  0.0000
